,Capital,Country,Latitude,Longitude,AvgRatings,Ratings
35,London,United Kingdom,51.5073219,-0.1276474,6.8,"{'502904745dd7750e9d63bc17': 6.8, '4b77eb6ff964a520c4ae2ee3': 6.8, '5627cde9498e51412203646e': 6.8, '4c659c4aaebea59345db70d0': 6.8, '4b9e7bb3f964a520ece736e3': 6.8}"
36,Luxembourg,Luxembourg,49.8158683,6.1296751,7.2,"{'567eae1e498eab68b90d203b': 7.2, '568f8115498e8e46ad342700': 7.2, '58d5335bd7b473223aa3e035': 7.2, '5155b362e4b0fe49eee3df37': 7.2}"
37,Madrid,Spain,40.416704700000004,-3.7035824999999996,7.6,"{'4b9b5750f964a520790136e3': 7.6, '4b66c179f964a520c6292be3': 7.6, '4b688e61f964a520b17f2be3': 7.6, '583872ec8d8e99629251e8a8': 7.6, '59cdf2c30fe7a025a229a007': 7.6}"
38,Manama,Bahrain,26.223504100000003,50.5822436,9.2,"{'5c29d763f870fd002cce4724': 9.2, '4bdc05e263c5c9b6f0362a68': 9.2, '5c1a3c3cc0c08400257333bb': 9.2, '4bf1a5d7189f0f473d83b762': 9.2, '52efd23b11d2203926fb2c5b': 9.2}"
39,Manila,Philippines,14.590621599999999,120.9799696,7.1,"{'4cd7475ab6962c0fc4b72f96': 7.1, '4bda44e6a8d976b0477b0cb5': 7.1, '5a1d0eed002f4c0f87924288': 7.1, '4f3ba270e4b0d6152f6a6e8f': 7.1, '53e73234498ec9c3ab79e59d': 7.1}"
40,Mexico City,Mexico,19.4326009,-99.1333416,7.6,"{'4bb2455ba32876b0a95f00fe': 7.6, '514e5790e4b06e0e43173747': 7.6, '51fadcb0498e90d14341554f': 7.6, '505b6ffae4b0b951797b6963': 7.6, '5a1c6025f96b2c105e7d053b': 7.6}"
41,Monaco,Monaco,43.7311424,7.4197576000000005,7.9,"{'5231f448498e480466833be9': 7.9, '57a9e413498e0f88d96101d0': 7.9, '5a60a912c365885c6ba2c185': 7.9, '52015e457dd25b1ad5e7b80d': 7.9, '5985abf73af98813d4ee22cb': 7.9}"
42,Montevideo,Uruguay,-34.9059039,-56.1913569,7.4,"{'5ab2b3dba92d9801c7544674': 7.4, '5bb14088446ea6002c849a9f': 7.4, '5bdcade0a4b51b002ce26bd7': 7.4, '5bf44804418686002c92be40': 7.4, '5b5c7e95031320002c00eb6b': 7.4}"
43,Moscow,Russia,55.7504461,37.6174943,8.6,"{'4f3b52bfe4b0ce0258fcafd4': 8.6, '4ba755a8f964a520568c39e3': 8.6, '4c22330734faef3bab96586d': 8.6, '4b9914f2f964a520286035e3': 8.6, '4d5f776f29ef236a9b629959': 8.6}"
44,Muscat,Oman,23.512549800000002,58.5514017715319,8.1,"{'5b8b7203419a9e002cfefc1e': 8.1, '4c3596dca0ced13a78051a6e': 8.1, '4bc18a454cdfc9b6fad89421': 8.1, '4e52894762840c1260de40fc': 8.1, '4c1854de1436a593de458d75': 8.1}"
